Per Transaction Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Period: ,2020-05-01 to 2020-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native Retail Currency: ,RUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native Partner Currency: ,RUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Transaction Date,Name of Title,Season Title,Show Title,Channel Name,Video Category,YouTube Video ID,Play Asset ID,EIDR Title ID,EIDR Edit ID,Partner Reporting ID,Transaction Import Source,Transaction Type,Resolution,Refund/Chargeback,Coupon Used,Campaign ID,Purchase Location,Retail Price (USD),Native Retail Price (RUB),Tax Exclusive Retail Price (USD),Native Tax Exclusive Retail Price (RUB),Total Tax (USD),Native Total Tax,Partner Earnings Fraction,Contractual Minimum Partner Earnings (USD),Native Contractual Minimum Partner Earnings (RUB),Partner Earnings Using Tax Exclusive Retail Price (USD),Native Partner Earnings Using Tax Exclusive Retail Price (RUB),Partner Funded Discounts (USD),Native Partner Funded Discounts (RUB),Final Partner Earnings (USD),Native Final Partner Earnings (RUB),Conversion Rate
RU,2020-05-23,Странники терпенья,,,,Movie,TcX4Aex7b_w,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.15,369.00,4.29,307.50,0.86,61.50,0.00,3.49,250.00,3.49,250.00,0.00,0.00,3.49,250.00,0.013954
"RU,2020-05-23,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.15,369.00,4.29,307.50,0.86,61.50,0.00,3.49,250.00,3.49,250.00,0.00,0.00,3.49,250.00,0.013954"
RU,2020-05-23,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.76,269.00,3.13,224.17,0.63,44.83,0.00,2.45,175.00,2.45,175.00,0.00,0.00,2.45,175.00,0.013954
"RU,2020-05-23,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.15,369.00,4.29,307.50,0.86,61.50,0.00,3.49,250.00,3.49,250.00,0.00,0.00,3.49,250.00,0.013954"
RU,2020-05-08,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.66,269.00,3.05,224.17,0.61,44.83,0.00,2.38,175.00,2.38,175.00,0.00,0.00,2.38,175.00,0.013598
"RU,2020-05-25,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.16,369.00,4.30,307.50,0.86,61.50,0.00,3.50,250.00,3.50,250.00,0.00,0.00,3.50,250.00,0.013962"
"RU,2020-05-25,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.16,369.00,4.30,307.50,0.86,61.50,0.00,3.50,250.00,3.50,250.00,0.00,0.00,3.50,250.00,0.013962"
RU,2020-05-13,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.65,269.00,3.04,224.17,0.61,44.83,0.00,2.38,175.00,2.38,175.00,0.00,0.00,2.38,175.00,0.013553
RU,2020-05-13,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.65,269.00,3.04,224.17,0.61,44.83,0.00,2.38,175.00,2.38,175.00,0.00,0.00,2.38,175.00,0.013553
RU,2020-05-13,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.65,269.00,3.04,224.17,0.61,44.83,0.00,2.38,175.00,2.38,175.00,0.00,0.00,2.38,175.00,0.013553
RU,2020-05-21,Странники терпенья,,,,Movie,TcX4Aex7b_w,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.21,369.00,4.34,307.50,0.87,61.50,0.00,3.53,250.00,3.53,250.00,0.00,0.00,3.53,250.00,0.014098
RU,2020-05-21,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.80,269.00,3.17,224.17,0.63,44.83,0.00,2.47,175.00,2.47,175.00,0.00,0.00,2.47,175.00,0.014098
"RU,2020-05-21,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.21,369.00,4.34,307.50,0.87,61.50,0.00,3.53,250.00,3.53,250.00,0.00,0.00,3.53,250.00,0.014098"
"RU,2020-05-21,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.21,369.00,4.34,307.50,0.87,61.50,0.00,3.53,250.00,3.53,250.00,0.00,0.00,3.53,250.00,0.014098"
RU,2020-05-21,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.80,269.00,3.17,224.17,0.63,44.83,0.00,2.47,175.00,2.47,175.00,0.00,0.00,2.47,175.00,0.014098
RU,2020-05-19,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.72,269.00,3.10,224.17,0.62,44.83,0.00,2.42,175.00,2.42,175.00,0.00,0.00,2.42,175.00,0.013800
RU,2020-05-12,Война токов,,,,Movie,,Nm_XajeRDn4.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.67,269.00,3.06,224.17,0.61,44.83,0.00,2.39,175.00,2.39,175.00,0.00,0.00,2.39,175.00,0.013627
"RU,2020-05-12,""Отель """"Белград"""""",,,,Movie,,vvKfCzF7BVY.P,NULL,NULL,,,EST,HD,False,False,,Google Play,5.03,369.00,4.19,307.50,0.84,61.50,0.00,3.41,250.00,3.41,250.00,0.00,0.00,3.41,250.00,0.013627"
RU,2020-05-03,Подарок с характером,,,,Movie,,ze-8i7NVUL8.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.57,269.00,2.98,224.17,0.59,44.83,0.00,2.33,175.00,2.33,175.00,0.00,0.00,2.33,175.00,0.013262
"RU,2020-05-03,""Отель """"Белград"""""",,,,Movie,,vvKfCzF7BVY.P,NULL,NULL,,,EST,HD,False,False,,Google Play,4.90,369.00,4.08,307.50,0.82,61.50,0.00,3.32,250.00,3.32,250.00,0.00,0.00,3.32,250.00,0.013262"
"RU,2020-05-03,""Отель """"Белград"""""",,,,Movie,,vvKfCzF7BVY.P,NULL,NULL,,,EST,HD,False,False,,Google Play,4.90,369.00,4.08,307.50,0.82,61.50,0.00,3.32,250.00,3.32,250.00,0.00,0.00,3.32,250.00,0.013262"
"RU,2020-05-03,""Отель """"Белград"""""",,,,Movie,,vvKfCzF7BVY.P,NULL,NULL,,,EST,HD,False,False,,Google Play,4.90,369.00,4.08,307.50,0.82,61.50,0.00,3.32,250.00,3.32,250.00,0.00,0.00,3.32,250.00,0.013262"
RU,2020-05-03,Война токов,,,,Movie,,Nm_XajeRDn4.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.57,269.00,2.98,224.17,0.59,44.83,0.00,2.33,175.00,2.33,175.00,0.00,0.00,2.33,175.00,0.013262
RU,2020-05-19,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.72,269.00,3.10,224.17,0.62,44.83,0.00,2.42,175.00,2.42,175.00,0.00,0.00,2.42,175.00,0.013800
"RU,2020-05-19,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.10,369.00,4.25,307.50,0.85,61.50,0.00,3.45,250.00,3.45,250.00,0.00,0.00,3.45,250.00,0.013800"
RU,2020-05-19,Текст,,,,Movie,7SdigstCzcA,,NULL,NULL,,,EST,HD,False,False,,YouTube,4.55,329.00,3.79,274.17,0.76,54.83,0.00,3.45,250.00,3.45,250.00,0.00,0.00,3.45,250.00,0.013800
